first_name,last_name,grade
Joshua,Adams,B
Melanie,Baker,C
Jessica,Baker,B
William,Bowman,C
Maria,Bright,C
Brandon,Burton,B
Debra,Cameron,C
Linda,Clark,B
Angel,Clark,C
Jeremy,Conner,A
Michelle,Davis,C
Eric,Edwards,B
Colin,Ellis,C
Craig,Ferrell,A
Matthew,Foster,A
Helen,Hahn,C
Keith,Henderson,C
Christine,Hicks,C
Lindsay,Hoffman,C
Teresa,Hurst,C
Patricia,Jackson,C
Jesse,James,B
Bridget,Johnson,A
Erica,Lynch,B
Cynthia,Maddox,C
Robert,Martin,C
Jeffery,Mayo,B
Amy,Parsons,C
Jeffrey,Perez,B
Joshua,Rice,C
Amanda,Richards,B
Andrea,Robinson,B
Christopher,Rocha,A
Janet,Rodriguez,C
Nicholas,Ross,B
Lisa,Stewart,A
Michael,Valencia,C
Matthew,Walter,B
Barbara,Williams,C
Jill,Wong,C
Danielle,Wood,A
Cassandra,Wright,C
Jeffrey,Zuniga,B
