first_name,last_name,math_score,science_score
Melanie,Baker,60,94
Joshua,Adams,61,100
James,Cohen,61,66
Adam,Adams,61,70
Christopher,Brown,62,64
Anthony,Hawkins,62,74
Michael,Valencia,65,91
Debra,Cameron,65,84
Christine,Hicks,65,80
Anthony,Gray,65,74
Maria,Bright,66,74
Barbara,Williams,66,74
Christopher,Daniel,66,64
Joshua,Rice,67,80
Angel,Clark,67,78
Patricia,Jackson,68,72
Teresa,Hurst,69,77
Cassandra,Wright,70,75
Helen,Hahn,72,82
Nicholas,Ross,73,100
Amy,Parsons,73,77
Susan,Rios,74,64
Erica,Lynch,74,96
Jeffrey,Perez,74,89
Jill,Wong,75,83
Keith,Henderson,76,77
Jeffrey,Zuniga,77,99
Colin,Ellis,77,70
Amanda,Richards,77,84
Andrea,Robinson,81,95
Jessica,Baker,81,89
Janet,Rodriguez,82,62
Brandon,Burton,82,80
Cynthia,Maddox,84,73
Michelle,Davis,84,63
Eric,Edwards,86,77
William,Bowman,87,65
Lindsay,Hoffman,87,70
Matthew,Foster,88,98
Jesse,James,89,73
Bridget,Johnson,92,100
Craig,Ferrell,94,96
Matthew,Walter,94,73
Robert,Martin,94,62
Linda,Clark,95,83
Jeffery,Mayo,97,78
Christopher,Rocha,97,100
Lisa,Stewart,98,83
Jeremy,Conner,98,85
Danielle,Wood,100,95
